product_id,product_name,delivered,rating,review,buyer_id
324,dior Diorshow Black Out,1,3.1,Like kohl for the lashes. Diorshow Black Out recre,8
188,nyx Epic Ink Lip Dye,1,3.9,Drench your kiss in knockout color! A stroke of Ep,12
152,nyx Pro Foundation Mixer,1,4.1,Your custom shade is just a Pro Foundation Mixer a,14
264,clinique True Bronze&trade; Pressed Powder Bronzer,1,2.8,Lightweight powder bronzer creates a natural-looki,2
579,milani Milani Color Statement Lipliner,1,3.8,"Inspired by the Milan Runway, two new shades to li",9
737,maybelline Maybelline Eye Studio Master Graphic in Striking Black,1,3.7,Eye Studio Master Graphic Liquid Liner from Maybel,5
367,dior Rouge Dior Double Rouge,1,2.6,"Inspired by professional techniques, Double Rouge ",4
347,dior DIORIFIC PRECIOUS ROCKS - Christmas 2017 Limited Edition,1,2.7,Diorific unveils a limited-edition gold loose powd,11
841,revlon Revlon ColorBurst Lacquer Balm,1,3.1,Revlon ColorBurst Lacquer Balm offers high shine w,1
756,wet n wild Wet n Wild MegaLiner Liquid Eyeliner,1,3.6,Wet n Wild MegaLiner Liquid Eyeliner is formulated,3
260,clinique Chubby Stick&trade; Sculpting Contour,1,3.8,Creamy contouring stick creates the illusion of de,4
725,dr. hauschka Dr. Hauschka Kajal Eyeliner,1,2.8,"Kajal Eyeliner pencils, highlight and define the b",12
568,cargo cosmetics Cargo Cosmetics Reverse Lip Liner,1,3.3,A Cargo Innovation and the only liner for lip glos,10
41,c'est moi Luminary Lip Crayon,1,3.1,These nourishing and creamy lip crayons come in 6 ,7
273,clinique Chubby Stick&trade; Cheek Colour Balm,1,2.9,"Creamy, mistake-proof cheek colour creates a healt",12
794,orly Orly Nail Lacquer,1,3.2,As one of the nail care industry's renowned color ,13
774,e.l.f. e.l.f. Studio Eye Primer & Liner Sealer,1,3.8,"
					
					
					
					
					Now you can have
 yo",9
862,burt's bees Burt's Bees Lipstick ,1,3.0,"Burt's Bees Lipstick provides luscious, full-cover",9
912,l'oreal L'Oreal Paris Double Extend Beauty Tubes,1,3.4,Get the look of salon lash extensions with the new,7
4,boosh Lipstick,1,4.4,All of our products are free from lead and heavy m,6
